complex_id,venue_id,venue_name,venue_city_name,venue_country_name,venue_country_code,venue_timezone
sr:complex:705,sr:venue:70045,Cancha Central,Santiago,Chile,CHL,America/Santiago
sr:complex:1078,sr:venue:74858,Court One,Seville,Spain,ESP,Europe/Madrid
sr:complex:1495,sr:venue:62153,TC Dynamo,Saint Petersburg,Russia,RUS,Europe/Moscow
sr:complex:2375,sr:venue:77437,Campo 8,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:4032,sr:venue:77437,Campo 8,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:5520,sr:venue:77437,Campo 8,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:5526,sr:venue:55223,Court 2,Ostrava,Czechia,CZE,Europe/Prague
sr:complex:6310,sr:venue:77285,Table 8,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6484,sr:venue:39934,Court 3,Montpellier,France,FRA,Europe/Paris
sr:complex:6736,sr:venue:39934,Court 3,Montpellier,France,FRA,Europe/Paris
sr:complex:6888,sr:venue:39934,Court 3,Montpellier,France,FRA,Europe/Paris
sr:complex:6890,sr:venue:74197,Court 1,Orleans,France,FRA,Europe/Paris
sr:complex:6904,sr:venue:74197,Court 1,Orleans,France,FRA,Europe/Paris
sr:complex:7048,sr:venue:72571,Pista 4,Malaga,Spain,ESP,Europe/Madrid
sr:complex:7052,sr:venue:72571,Pista 4,Malaga,Spain,ESP,Europe/Madrid
sr:complex:7208,sr:venue:72571,Pista 4,Malaga,Spain,ESP,Europe/Madrid
sr:complex:7778,sr:venue:72571,Pista 4,Malaga,Spain,ESP,Europe/Madrid
sr:complex:9725,sr:venue:23356,Court 2,Sofia,Bulgaria,BGR,Europe/Sofia
sr:complex:10063,sr:venue:74546,Court 1,Rouen,France,FRA,Europe/Paris
sr:complex:11769,sr:venue:67863,Cancha 3,Temuco,Chile,CHL,America/Santiago
sr:complex:12241,sr:venue:58692,Court 12,Lyon,France,FRA,Europe/Paris
sr:complex:15014,sr:venue:70603,Court 2,Orleans,France,FRA,Europe/Paris
sr:complex:15371,sr:venue:68097,Campo Arpex,Andria,Italy,ITA,Europe/Rome
sr:complex:16020,sr:venue:80523,Court TCSB,Saint-Brieuc,France,FRA,Europe/Paris
sr:complex:16069,sr:venue:14874,Court Limak Enerji,Istanbul,Turkiye,TUR,Europe/Istanbul
sr:complex:16612,sr:venue:77413,Court 2,Stuttgart,Germany,DEU,Europe/Berlin
sr:complex:17254,sr:venue:77413,Court 2,Stuttgart,Germany,DEU,Europe/Berlin
sr:complex:17945,sr:venue:22854,Centre Court,Rotterdam,Netherlands,NLD,Europe/Brussels
sr:complex:18201,sr:venue:66121,Centre Court,London,England,ENG,Europe/London
sr:complex:18221,sr:venue:39717,Court 1,Bol,Croatia,HRV,Europe/Zagreb
sr:complex:19166,sr:venue:39717,Court 1,Bol,Croatia,HRV,Europe/Zagreb
sr:complex:19737,sr:venue:62341,Court 4,Monterrey,Mexico,MEX,America/Mexico_City
sr:complex:19951,sr:venue:1522,Court 2,Paris,France,FRA,Europe/Paris
sr:complex:21870,sr:venue:21868,Next Gen Arena,Umag,Croatia,HRV,Europe/Zagreb
sr:complex:21910,sr:venue:2461,Sportzentrum 3,Gstaad,Switzerland,CHE,Europe/Zurich
sr:complex:26983,sr:venue:62731,Court 9,Marbella,Spain,ESP,Europe/Madrid
sr:complex:26985,sr:venue:59164,Indoor Court 3,Astana,Kazakhstan,KAZ,Asia/Almaty
sr:complex:27093,sr:venue:75825,Court 2,Canberra,Australia,AUS,Australia/ACT
sr:complex:27095,sr:venue:59478,Court 2,Cluj Napoca,Romania,ROU,Europe/Bucharest
sr:complex:28457,sr:venue:66063,Campo 2,Genoa,Italy,ITA,Europe/Rome
sr:complex:28617,sr:venue:77441,Centre Court,Stuttgart,Germany,DEU,Europe/Berlin
sr:complex:28926,sr:venue:73245,Court 4,Copenhagen,Denmark,DNK,Europe/Copenhagen
sr:complex:32327,sr:venue:31955,Court 8,Taipei,Chinese Taipei,TPE,Asia/Taipei
sr:complex:32403,sr:venue:31955,Court 8,Taipei,Chinese Taipei,TPE,Asia/Taipei
sr:complex:32668,sr:venue:31955,Court 8,Taipei,Chinese Taipei,TPE,Asia/Taipei
sr:complex:32812,sr:venue:71443,Court 4,Kallang,Singapore,SGP,Asia/Singapore
sr:complex:33186,sr:venue:38311,Court 2,Marseille,France,FRA,Europe/Paris
sr:complex:33188,sr:venue:68305,Court Central,Madrid,Spain,ESP,Europe/Madrid
sr:complex:33190,sr:venue:21642,Court 5,London,England,ENG,Europe/London
sr:complex:33192,sr:venue:39589,Court Simonne Mathieu,Paris,France,FRA,Europe/Paris
sr:complex:33194,sr:venue:39589,Court Simonne Mathieu,Paris,France,FRA,Europe/Paris
sr:complex:33196,sr:venue:61865,Kia Arena,Melbourne,Australia,AUS,Australia/Melbourne
sr:complex:33198,sr:venue:24396,Indoor 1,Shanghai,China,CHN,Asia/Shanghai
sr:complex:33200,sr:venue:16760,Stadium,"Winston Salem, NC",USA,USA,America/New_York
sr:complex:33204,sr:venue:16760,Stadium,"Winston Salem, NC",USA,USA,America/New_York
sr:complex:33206,sr:venue:61851,Centre Court,Adelaide,Australia,AUS,Australia/South
sr:complex:33208,sr:venue:8563,AJC Grandstand Court,"Atlanta, GA",USA,USA,America/New_York
sr:complex:33210,sr:venue:21866,Center 2,"Newport, Rhode Island",USA,USA,America/New_York
sr:complex:33214,sr:venue:64227,Court 13,Quito,Ecuador,ECU,America/Guayaquil
sr:complex:33218,sr:venue:74171,Center Court,Zhuhai,China,CHN,Asia/Shanghai
sr:complex:33222,sr:venue:81937,Court Guillermo Villas,Buenos Aires,Argentina,ARG,America/Argentina/Buenos_Aires
sr:complex:33226,sr:venue:81937,Court Guillermo Villas,Buenos Aires,Argentina,ARG,America/Argentina/Buenos_Aires
sr:complex:33228,sr:venue:15684,Court 3,Delray Beach,USA,USA,America/New_York
sr:complex:33230,sr:venue:24488,Stadium,Luxembourg,Luxembourg,LUX,Europe/Paris
sr:complex:33232,sr:venue:24488,Stadium,Luxembourg,Luxembourg,LUX,Europe/Paris
sr:complex:33234,sr:venue:24488,Stadium,Luxembourg,Luxembourg,LUX,Europe/Paris
sr:complex:33236,sr:venue:61010,Court 2,Moscow,Russia,RUS,Europe/Moscow
sr:complex:33238,sr:venue:80457,Court 9,Osaka,Japan,JPN,Asia/Tokyo
sr:complex:33240,sr:venue:28986,Court 7,Wuhan,China,CHN,Asia/Shanghai
sr:complex:33242,sr:venue:34572,Court 7,Guangzhou,China,CHN,Asia/Shanghai
sr:complex:33244,sr:venue:26447,Show Court 1,Sydney,Australia,AUS,Australia/Sydney
sr:complex:33246,sr:venue:31499,Indoor C2,Hong Kong,"Hong Kong, China",HKG,Asia/Hong_Kong
sr:complex:33248,sr:venue:24252,Indoor 1,Tianjin,China,CHN,Asia/Shanghai
sr:complex:33250,sr:venue:35102,Indoor 2,Tashkent,Uzbekistan,UZB,Asia/Tashkent
sr:complex:33252,sr:venue:47004,Diamond,Beijing,China,CHN,Asia/Shanghai
sr:complex:33254,sr:venue:73841,Court 9,Osaka,Japan,JPN,Asia/Tokyo
sr:complex:33258,sr:venue:33528,Court G,"New Haven, CT",USA,USA,America/New_York
sr:complex:33262,sr:venue:33528,Court G,"New Haven, CT",USA,USA,America/New_York
sr:complex:33264,sr:venue:33528,Court G,"New Haven, CT",USA,USA,America/New_York
sr:complex:33266,sr:venue:79171,Cashmere Grandstand,"Toronto, ON",Canada,CAN,Canada/Eastern
sr:complex:33268,sr:venue:79243,Court 10,"Cincinnati, OH",USA,USA,America/New_York
sr:complex:33270,sr:venue:79243,Court 10,"Cincinnati, OH",USA,USA,America/New_York
sr:complex:33274,sr:venue:58624,Indoor Court 1,Strasbourg,France,FRA,Europe/Paris
sr:complex:33276,sr:venue:18313,Indoor 6,Birmingham,England,ENG,Europe/London
sr:complex:33278,sr:venue:28719,Court 9,Marrakech,Morocco,MAR,Africa/Casablanca
sr:complex:33280,sr:venue:18205,Court 5,Nuremberg,Germany,DEU,Europe/Berlin
sr:complex:33282,sr:venue:58830,Court 12,Eastbourne,England,ENG,Europe/London
sr:complex:33286,sr:venue:72767,Practice Court 1,Prague,Czechia,CZE,Europe/Prague
sr:complex:33288,sr:venue:72767,Practice Court 1,Prague,Czechia,CZE,Europe/Prague
sr:complex:33290,sr:venue:62259,Grandstand 4,Doha,Qatar,QAT,Asia/Qatar
sr:complex:33292,sr:venue:25938,Court 7,Monterrey,Mexico,MEX,America/Mexico_City
sr:complex:33294,sr:venue:25938,Court 7,Monterrey,Mexico,MEX,America/Mexico_City
sr:complex:33296,sr:venue:66903,Central,Rio de Janeiro,Brazil,BRA,Brazil/East
sr:complex:33298,sr:venue:11388,Cancha 5,Acapulco,Mexico,MEX,America/Mexico_City
sr:complex:33300,sr:venue:11388,Cancha 5,Acapulco,Mexico,MEX,America/Mexico_City
sr:complex:33302,sr:venue:38886,Althea Gibson Club Court,"Charleston, SC",USA,USA,America/New_York
sr:complex:33306,sr:venue:38886,Althea Gibson Club Court,"Charleston, SC",USA,USA,America/New_York
sr:complex:33310,sr:venue:38886,Althea Gibson Club Court,"Charleston, SC",USA,USA,America/New_York
sr:complex:33316,sr:venue:38886,Althea Gibson Club Court,"Charleston, SC",USA,USA,America/New_York
sr:complex:33318,sr:venue:38886,Althea Gibson Club Court,"Charleston, SC",USA,USA,America/New_York
sr:complex:33320,sr:venue:70493,Court 6,Basel,Switzerland,CHE,Europe/Zurich
sr:complex:33322,sr:venue:24824,Next Gen Court,Vienna,Austria,AUT,Europe/Vienna
sr:complex:33324,sr:venue:24824,Next Gen Court,Vienna,Austria,AUT,Europe/Vienna
sr:complex:33328,sr:venue:24824,Next Gen Court,Vienna,Austria,AUT,Europe/Vienna
sr:complex:33332,sr:venue:24824,Next Gen Court,Vienna,Austria,AUT,Europe/Vienna
sr:complex:33334,sr:venue:13308,Center Court,Shenzhen,China,CHN,Asia/Shanghai
sr:complex:33336,sr:venue:80995,Ct 15,Brisbane,Australia,AUS,Australia/Brisbane
sr:complex:33338,sr:venue:53557,Head Gravity Court,Hamburg,Germany,DEU,Europe/Berlin
sr:complex:33340,sr:venue:61435,ShowCourt,Stockholm,Sweden,SWE,Europe/Stockholm
sr:complex:33342,sr:venue:78887,Court Stadtwerke,Kitzbuhel,Austria,AUT,Europe/Vienna
sr:complex:33344,sr:venue:78887,Court Stadtwerke,Kitzbuhel,Austria,AUT,Europe/Vienna
sr:complex:33346,sr:venue:30715,Stadion,Halle,Germany,DEU,Europe/Berlin
sr:complex:33348,sr:venue:58776,Indoor 3,Nottingham,England,ENG,Europe/London
sr:complex:33350,sr:venue:21874,Centre Court,Bastad,Sweden,SWE,Europe/Stockholm
sr:complex:33354,sr:venue:21874,Centre Court,Bastad,Sweden,SWE,Europe/Stockholm
sr:complex:33356,sr:venue:16173,Court 4,Geneva,Switzerland,CHE,Europe/Zurich
sr:complex:33358,sr:venue:16173,Court 4,Geneva,Switzerland,CHE,Europe/Zurich
sr:complex:33362,sr:venue:16173,Court 4,Geneva,Switzerland,CHE,Europe/Zurich
sr:complex:33364,sr:venue:1896,Court 4,'s-Hertogenbosch,Netherlands,NLD,Europe/Brussels
sr:complex:33366,sr:venue:22948,Court 9,Bucharest,Romania,ROU,Europe/Bucharest
sr:complex:33368,sr:venue:16065,Court 2,Munich,Germany,DEU,Europe/Berlin
sr:complex:33372,sr:venue:70759,Pista Andres Gimeno,Barcelona,Spain,ESP,Europe/Madrid
sr:complex:33374,sr:venue:34228,Indoor Court 19,Hiroshima,Japan,JPN,Asia/Tokyo
sr:complex:33380,sr:venue:34228,Indoor Court 19,Hiroshima,Japan,JPN,Asia/Tokyo
sr:complex:33382,sr:venue:34228,Indoor Court 19,Hiroshima,Japan,JPN,Asia/Tokyo
sr:complex:33386,sr:venue:34228,Indoor Court 19,Hiroshima,Japan,JPN,Asia/Tokyo
sr:complex:33390,sr:venue:58712,Court 23,Lyon,France,FRA,Europe/Paris
sr:complex:33392,sr:venue:34608,Center Court,Chengdu,China,CHN,Asia/Shanghai
sr:complex:33394,sr:venue:38279,Swiss Tennis Arena,Biel,Switzerland,CHE,Europe/Zurich
sr:complex:33400,sr:venue:38279,Swiss Tennis Arena,Biel,Switzerland,CHE,Europe/Zurich
sr:complex:33402,sr:venue:38279,Swiss Tennis Arena,Biel,Switzerland,CHE,Europe/Zurich
sr:complex:33406,sr:venue:38279,Swiss Tennis Arena,Biel,Switzerland,CHE,Europe/Zurich
sr:complex:33408,sr:venue:74652,Centre Court,Shenzhen,China,CHN,Asia/Shanghai
sr:complex:33410,sr:venue:82221,Yang-Ming Tennis Center - Court 8,Kaohsiung,Chinese Taipei,TPE,Asia/Taipei
sr:complex:33418,sr:venue:64279,Grandstand,Mallorca,Spain,ESP,Europe/Madrid
sr:complex:33422,sr:venue:64279,Grandstand,Mallorca,Spain,ESP,Europe/Madrid
sr:complex:33424,sr:venue:64279,Grandstand,Mallorca,Spain,ESP,Europe/Madrid
sr:complex:33426,sr:venue:58524,Practice Court 1,Belgrade,Serbia,SRB,Europe/Belgrade
sr:complex:33428,sr:venue:82565,Court 5,Copenhagen,Denmark,DNK,Europe/Copenhagen
sr:complex:33430,sr:venue:82565,Court 5,Copenhagen,Denmark,DNK,Europe/Copenhagen
sr:complex:33434,sr:venue:82565,Court 5,Copenhagen,Denmark,DNK,Europe/Copenhagen
sr:complex:33436,sr:venue:58736,Court 20,Madrid,Spain,ESP,Europe/Madrid
sr:complex:33438,sr:venue:58736,Court 20,Madrid,Spain,ESP,Europe/Madrid
sr:complex:33440,sr:venue:17522,Court 3,Bangkok,Thailand,THA,Asia/Bangkok
sr:complex:33442,sr:venue:17522,Court 3,Bangkok,Thailand,THA,Asia/Bangkok
sr:complex:33444,sr:venue:17522,Court 3,Bangkok,Thailand,THA,Asia/Bangkok
sr:complex:33446,sr:venue:52597,Court 12,Palermo,Italy,ITA,Europe/Rome
sr:complex:33448,sr:venue:22362,Court A,Portoroz,Slovenia,SVN,Europe/Ljubljana
sr:complex:33450,sr:venue:22362,Court A,Portoroz,Slovenia,SVN,Europe/Ljubljana
sr:complex:33454,sr:venue:22362,Court A,Portoroz,Slovenia,SVN,Europe/Ljubljana
sr:complex:33456,sr:venue:22362,Court A,Portoroz,Slovenia,SVN,Europe/Ljubljana
sr:complex:33458,sr:venue:22362,Court A,Portoroz,Slovenia,SVN,Europe/Ljubljana
sr:complex:33460,sr:venue:77739,Court 3,Prague,Czechia,CZE,Europe/Prague
sr:complex:33462,sr:venue:77739,Court 3,Prague,Czechia,CZE,Europe/Prague
sr:complex:33466,sr:venue:77739,Court 3,Prague,Czechia,CZE,Europe/Prague
sr:complex:33468,sr:venue:58758,Steffi Graf Stadion,Berlin,Germany,DEU,Europe/Berlin
sr:complex:33470,sr:venue:58758,Steffi Graf Stadion,Berlin,Germany,DEU,Europe/Berlin
sr:complex:33472,sr:venue:78749,Grand Court,Budapest,Hungary,HUN,Europe/Budapest
sr:complex:33474,sr:venue:78749,Grand Court,Budapest,Hungary,HUN,Europe/Budapest
sr:complex:33476,sr:venue:78749,Grand Court,Budapest,Hungary,HUN,Europe/Budapest
sr:complex:33478,sr:venue:48783,Table 1,Tokyo,Japan,JPN,Asia/Tokyo
sr:complex:33482,sr:venue:80329,Pista Pablo Andujar,Valencia,Spain,ESP,Europe/Madrid
sr:complex:33484,sr:venue:80329,Pista Pablo Andujar,Valencia,Spain,ESP,Europe/Madrid
sr:complex:33486,sr:venue:35806,Court 5,Vina del Mar,Chile,CHL,America/Santiago
sr:complex:33488,sr:venue:35806,Court 5,Vina del Mar,Chile,CHL,America/Santiago
sr:complex:33490,sr:venue:35806,Court 5,Vina del Mar,Chile,CHL,America/Santiago
sr:complex:33492,sr:venue:35806,Court 5,Vina del Mar,Chile,CHL,America/Santiago
sr:complex:33808,sr:venue:1325,Grandstand,"New York, NY",USA,USA,America/New_York
sr:complex:34336,sr:venue:1325,Grandstand,"New York, NY",USA,USA,America/New_York
sr:complex:34586,sr:venue:55021,MKG 2,Cologne,Germany,DEU,Europe/Berlin
sr:complex:34736,sr:venue:80217,Backer Mckenzie,Tiburon,USA,USA,America/Los_Angeles
sr:complex:34766,sr:venue:82271,Cancha Central,Bogota,Colombia,COL,America/Bogota
sr:complex:34812,sr:venue:24082,Indoor 2,Almaty,Kazakhstan,KAZ,Asia/Almaty
sr:complex:34814,sr:venue:66743,Indoors,Campinas,Brazil,BRA,Brazil/East
sr:complex:34816,sr:venue:81935,Eve Zimmerman Tennis Center - Court 3,"Stockton, CA",USA,USA,America/Los_Angeles
sr:complex:34896,sr:venue:81935,Eve Zimmerman Tennis Center - Court 3,"Stockton, CA",USA,USA,America/Los_Angeles
sr:complex:35048,sr:venue:60714,Pista 2,Barcelona,Spain,ESP,Europe/Madrid
sr:complex:35052,sr:venue:79245,Estadio Brugal,Santo Domingo,Dominican Republic,DOM,America/Santo_Domingo
sr:complex:35054,sr:venue:79245,Estadio Brugal,Santo Domingo,Dominican Republic,DOM,America/Santo_Domingo
sr:complex:35142,sr:venue:24318,Court 3,Antwerp,Belgium,BEL,Europe/Brussels
sr:complex:35212,sr:venue:61257,Court 1,Ismaning,Germany,DEU,Europe/Berlin
sr:complex:35214,sr:venue:67609,Rogers Court,Calgary,Canada,CAN,America/Edmonton
sr:complex:35236,sr:venue:80661,Indoor court 9,Ningbo,China,CHN,Asia/Shanghai
sr:complex:35290,sr:venue:35080,Court 17,Lima,Peru,PER,America/Lima
sr:complex:35292,sr:venue:47508,Court 5,Liuzhou,China,CHN,Asia/Shanghai
sr:complex:35458,sr:venue:47508,Court 5,Liuzhou,China,CHN,Asia/Shanghai
sr:complex:35512,sr:venue:35514,Brenda Meyers Court,"Charlottesville, VA",USA,USA,America/New_York
sr:complex:35516,sr:venue:56292,Court 10,Guayaquil,Ecuador,ECU,America/Guayaquil
sr:complex:35580,sr:venue:56292,Court 10,Guayaquil,Ecuador,ECU,America/Guayaquil
sr:complex:35592,sr:venue:56292,Court 10,Guayaquil,Ecuador,ECU,America/Guayaquil
sr:complex:35638,sr:venue:56292,Court 10,Guayaquil,Ecuador,ECU,America/Guayaquil
sr:complex:35640,sr:venue:56292,Court 10,Guayaquil,Ecuador,ECU,America/Guayaquil
sr:complex:35642,sr:venue:15294,Court Annexe,Mouilleron-le-Captif,France,FRA,Europe/Paris
sr:complex:35644,sr:venue:15387,Cancha 15,Montevideo,Uruguay,URY,America/Montevideo
sr:complex:35646,sr:venue:61463,Stadium,"Knoxville, TN",USA,USA,America/New_York
sr:complex:35648,sr:venue:17280,Court 2,Limoges,France,FRA,Europe/Paris
sr:complex:35684,sr:venue:67729,Court C,Kobe,Japan,JPN,Asia/Tokyo
sr:complex:35688,sr:venue:33464,KSLTA Signature - Kingfisher Stadium,Bangalore,India,IND,Asia/Kolkata
sr:complex:35690,sr:venue:74526,Cancha 7,Buenos Aires,Argentina,ARG,America/Argentina/Buenos_Aires
sr:complex:35692,sr:venue:81021,The Goldenberg Court,"Champaign, IL",USA,USA,America/Chicago
sr:complex:35694,sr:venue:35912,Indoor 2,"Houston, TX",USA,USA,America/Chicago
sr:complex:35870,sr:venue:36371,Court 5,Pune,India,IND,Asia/Kolkata
sr:complex:35902,sr:venue:15373,Via Delle Querce,Andria,Italy,ITA,Europe/Rome
sr:complex:36493,sr:venue:81619,Indoor 6,Auckland,New Zealand,NZL,Pacific/Auckland
sr:complex:36495,sr:venue:26481,West Court,Hobart,Australia,AUS,Australia/Tasmania
